# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="look" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.lascon.co.uk/zOS-DFSMS-Data-Class.php	The Dataclass construct defines what	a file looks like	.
http://www.parksandgardens.ac.uk/327/school-zone-51/exploring-historic-parks-246/exploring-historic-parks-616.html	Explain that this is what	a park looks like	from above [ the sky ] .
http://clubs-kids.scholastic.co.uk/clubs_content/1486	Do you work closely with the author to decide what	a character looks like	?
http://exiledonline.com/its-hip-its-cool-its-libertarianism	Want to see what an inside of	a bag looks like	?
http://exiledonline.com/its-hip-its-cool-its-libertarianism	@ 76 " Want to see what an inside of	a bag looks like	?
http://www.theanswerbank.co.uk/search/?q1=Microsoft%20Word%2010%26q2=Microsoft%20Word	Touring with	a band looks like	a fantastic lifestyle , is it ?
http://linuxgazette.net/issue34/anderson.html	You 're presented with	a screen looking like	this : Debian GNU Linux 1.3 geeky 1 tty 1 geeky 1 login : You probably created a personal account for yourself , and we 'll use that .
http://972mag.com/author/noams	What is it that is making Israeli leaders ( Netanyahu and Barak among them ) , think tanks and pundits talk more about a ' unilateral solution , ' and what would such	a plan look like	?
http://zionism-israel.com/israel_news/2007/05/uri-avnery-on-one-state-solution.html		A utopia looks like	a light at the end of the tunnel .
http://aurorawatch.lancs.ac.uk/introduction	So what does	an aurora look like	?
http://www.ballet.co.uk/magazines/yr_99/nov99/lh_rev_mmdg_1099.htm	There was a solo from Morris in which he seemed almost to float over the stage , as he circled round one stationary dancer : it certainly challenges your preconceptions of what	a dancer looks like	, and I could almost hear different parts of my brain arguing with one another - thinking , um , there is a lot of him , and also , but how light he is , how feline .
http://www.retrobike.co.uk/forum/viewtopic.php?t=119515	To see what	an advert looks like	click here .
http://essayseek.com/blog/thesis-help-that-even-smart-people-need	At first , writing	a thesis looks like	difficult and long process , because this is a not an easy process .
http://eh.net/book_reviews/fish-into-wine-the-newfoundland-plantation-in-the-seventeenth-century	What did	an outpost look like	?
http://moneybies.com/10-best-freelance-websites-for-jobs	For example	a project looks like	" I will send 2500 twitter followers for $ 5 " .
http://forum.wingmakers.co.uk/viewtopic.php?f=19%26t=2259%26sid=24f5359bc9810247ed9a02b240c3bdc4	Look at him as he stands on the beach waiting to see what	a tsunami looks like	when the wiser adults and animals head for higher ground .
http://www.glasgowwestend.co.uk/eating/American.html	New York on	a sunday looks like	Parkhead after an old firm match , all you see is City workers sweepin up the streets getting the place ready for a monday ...
http://forums.mercedesclub.org.uk/archive/index.php/t-3638.html	Mike This is what	a duovalve looks like	- I just happen to be selling one for a W 126 on ebay at present .
http://www.iacr.org/newsletter/v25n1/index.html	Abhishek Singh and Baibhav Singh : " Identifying Malicious Code Through Reverse Engineering " , 2009 : This book gives a little introduction into assembly , shows how	a PE looks like	, how vulnerabilities look like in assembly code and shows you some stumbling blocks when reverse-engineering code .
http://www.iacr.org/newsletter/v25n1/index.html	So , what should	a review look like	?
http://www.ukcampsite.co.uk/chatter/display_topic_threads.asp?ForumID=2%26TopicID=284217%26PagePosition=1%26ThreadPage=2%26ReturnPage=Search%26search=%26searchIn=	A good suggestion maybe , but does n't really help - I do n't know what	an alternator looks like	and even if I did I would n't know where it is on my van and probably would n't be able to get to it to test it .
http://cognoscenti.wbur.org/2014/01/07/sexism-in-the-culinary-world-louisa-kasdon	Ever since , an energized group of local women in the food world has been thinking about how to use these slights as a teachable moment to change the media perception - and therefore the public view - of what	a chef looks like	.
http://dlisted.com/tag/lil_kim	( Seriously , Kim 's arms are what	a dick looks like	when it does ass sex with a Kardashian before her daily crack wax and dingle cleanse . ) But the poodle truly knows how to wear pube puffs on its limbs .
http://www.bergenbelsen.co.uk/pages/TrialTranscript/Trial_Day_037.html	Coming straight down that road , past the little island , and on to the first road off at right angles to the road you will see a building with	a work looking like	" Disinf " which I think is short for " Disinfizierung " ; that is the Bathhouse .
http://freemasonry.bcy.ca/anti-masonry/morgan_notes.html	Captain Andrew Hitchcock of West Troy , New York wrote in August 1875 that he was at Smyrnia on or about February 6 , 1830 and saw	a man looking like	a turk who said he was Morgan .
http://justinelarbalestier.com/blog/2009/10/30/the-book-you-thought-you-were-going-to-write	I was just wondering what	a manuscript looks like	.
http://www.archives.gov/publications/prologue/1997/summer/panama-canal.html	Then it became clear that if	a person looked like	a silver employee , he was treated like one ; the subject of citizenship was not brought up .
http://linuxgazette.net/issue40/lg_tips40.html	Under WINE	a pentium looks like	a 486 and a 468 looks like a 386 .
http://iainabernethy.co.uk/article/interview-iain-abernethy-geoff-thompson-october-2000?mini=calendar%2F2012-09	Another important thing is that if you do not know what a throw , or a choke , or	a lock looks like	you will never see it in the kata .
http://www.avoiceformen.com/mens-rights/family-courts/here-come-the-lawyers-to-avfm-yet-again	This is what being to death or ' targeted ' by	a psychopath looks like	.
http://www.metamute.org/editorial/articles/bitcoin-%E2%80%93-finally-fair-money	Systematic enmity of interests , exclusion from social wealth , subjection of everything to capitalist growth - that is what	an economy looks like	where exchange , money and private property determine production and consumption .
http://spaceref.com/saturn/moons-and-rings-of-saturn-are-made-of-very-ancient-material.html	" What	an object looks like	and how it evolves depends a lot on location , location , location .
http://www.railforums.co.uk/showthread.php?s=85b561398414292f750859d0c8fbeb74%26p=489776	As I 'm sure you are aware , AC current when plotted as	a graph looks like	a sine wave .
http://www.chelsea.vitalfootball.co.uk/article.asp?a=517583	What does	an asshole look like	?
http://www.clubpolo.co.uk/forum/lofiversion/index.php/t158442.html	maybe he thought	a polo looked like	a VR 6 ?
http://ilovetypography.com/OpenType/opentype-features.html	What does	a feature look like	?
